,Composizione,mg/100g di parte edibile
0,Lisina:,
1,Istidina:,
2,Arginina:,
3,Acido aspartico:,
4,Treonina:,
5,Serina:,
6,Acido glutamico:,
7,Prolina:,
8,Glicina:,
9,Alanina:,
10,Cistina:,
11,Valina:,
12,Metionina:,
13,Isoleucina:,
14,Leucina:,
15,Tirosina:,
16,Fenilalanina:,
17,Triptofano:,
18,Indice Chimico:,
19,Aminoacido limitante:,
