,Composizione chimica,valore per 100g
0,Parte edibile (%):,100
1,Acqua (g):,37
2,Proteine (g):,8.3
3,Lipidi(g):,1.7
4,Colesterolo (mg):,
5,Carboidrati disponibili (g):,45.4
6,Amido (g):,39.5
7,Zuccheri solubili (g):,1.8
8,Fibra totale (g):,4.6
9,Fibra solubile (g):,
10,Fibra insolubile (g):,
11,Alcol (g):,0
12,Energia (kcal):,219
13,Energia (kJ):,915
14,Sodio (mg):,580
15,Potassio (mg):,190
16,Ferro (mg):,2.5
17,Calcio (mg):,80
18,Fosforo (mg):,160
19,Magnesio (mg):,
20,Zinco (mg):,
21,Rame (mg):,
22,Selenio (µg):,
23,Tiamina (mg):,0.29
24,Riboflavina (mg):,0.05
25,Niacina (mg):,2.3
26,Vitamina A retinolo eq. (µg):,0
27,Vitamina C (mg):,0
28,Vitamina E (mg):,
