,Composizione,mg/100g di parte edibile
0,Lisina:,69
1,Istidina:,29
2,Arginina:,82
3,Acido aspartico:,209
4,Treonina:,75
5,Serina:,60
6,Acido glutamico:,186
7,Prolina:,94
8,Glicina:,75
9,Alanina:,78
10,Cistina:,
11,Valina:,98
12,Metionina:,33
13,Isoleucina:,69
14,Leucina:,115
15,Tirosina:,48
16,Fenilalanina:,93
17,Triptofano:,16
18,Indice Chimico:,66
19,Aminoacido limitante:,Lis.
