,Composizione,g/100g di parte edibile
0,Saturi totali (%):,2.97
1,C4:0÷C10:0,0
2,C12:0,0
3,C14:0,0.52
4,C16:0,2.03
5,C18:0,0.42
6,C20:0,0
7,C22:0,0
8,Monoinsaturi totali (%):,4.6
9,C14:1,0
10,C16:1,0.65
11,C18:1,2.46
12,C20:1,0.91
13,C22:1,0.58
14,Polinsaturi totali (%):,3.05
15,C18:2,0.15
16,C18:3,0.09
17,C20:4,0.05
18,C20:5,0.89
19,C22:6,1.19
20,Rapporto Polinsaturi/Saturi:,1
