,Composizione chimica,valore per 100g
0,Parte edibile (%):,100
1,Acqua (g):,10.5
2,Proteine (g):,23.6
3,Lipidi(g):,2
4,Colesterolo (mg):,0
5,Carboidrati disponibili (g):,47.5
6,Amido (g):,40
7,Zuccheri solubili (g):,3.5
8,Fibra totale (g):,17.5
9,Fibra solubile (g):,2.34
10,Fibra insolubile (g):,15.14
11,Alcol (g):,0
12,Energia (kcal):,291
13,Energia (kJ):,1216
14,Sodio (mg):,4
15,Potassio (mg):,1445
16,Ferro (mg):,8
17,Calcio (mg):,135
18,Fosforo (mg):,450
19,Magnesio (mg):,170
20,Zinco (mg):,3.4
21,Rame (mg):,0.7
22,Selenio (µg):,16
23,Tiamina (mg):,0.4
24,Riboflavina (mg):,0.1
25,Niacina (mg):,2.3
26,Vitamina A retinolo eq. (µg):,3
27,Vitamina C (mg):,3
28,Vitamina E (mg):,
