,Composizione,g/100g di parte edibile
0,Saturi totali (%):,1.94
1,C4:0÷C10:0,0
2,C12:0,0
3,C14:0,0.23
4,C16:0,1.32
5,C18:0,0.35
6,C20:0,0
7,C22:0,0
8,Monoinsaturi totali (%):,2.78
9,C14:1,0
10,C16:1,0.46
11,C18:1,1.72
12,C20:1,0.07
13,C22:1,0.24
14,Polinsaturi totali (%):,2.21
15,C18:2,0.42
16,C18:3,0.05
17,C20:4,0.07
18,C20:5,0.46
19,C22:6,0.95
20,Rapporto Polinsaturi/Saturi:,1.1
