,Composizione,mg/100g di parte edibile
0,Lisina:,46
1,Istidina:,12
2,Arginina:,30
3,Acido aspartico:,189
4,Treonina:,33
5,Serina:,44
6,Acido glutamico:,148
7,Prolina:,33
8,Glicina:,31
9,Alanina:,29
10,Cistina:,25
11,Valina:,32
12,Metionina:,9
13,Isoleucina:,23
14,Leucina:,38
15,Tirosina:,15
16,Fenilalanina:,26
17,Triptofano:,7
18,Indice Chimico:,71
19,Aminoacido limitante:,Trip.
