,Composizione,mg/100g di parte edibile
0,Lisina:,2064
1,Istidina:,581
2,Arginina:,1398
3,Acido aspartico:,2215
4,Treonina:,1032
5,Serina:,882
6,Acido glutamico:,3397
7,Prolina:,753
8,Glicina:,989
9,Alanina:,1376
10,Cistina:,172
11,Valina:,1247
12,Metionina:,753
13,Isoleucina:,1161
14,Leucina:,1871
15,Tirosina:,860
16,Fenilalanina:,1011
17,Triptofano:,237
18,Indice Chimico:,100
19,Aminoacido limitante:,Trip.
