,Composizione,mg/100g di parte edibile
0,Lisina:,2311
1,Istidina:,822
2,Arginina:,1604
3,Acido aspartico:,2704
4,Treonina:,1073
5,Serina:,1097
6,Acido glutamico:,4166
7,Prolina:,1166
8,Glicina:,1521
9,Alanina:,1730
10,Cistina:,320
11,Valina:,1417
12,Metionina:,702
13,Isoleucina:,1220
14,Leucina:,2285
15,Tirosina:,902
16,Fenilalanina:,1081
17,Triptofano:,280
18,Indice Chimico:,95
19,Aminoacido limitante:,Trip.
