,Composizione,mg/100g di parte edibile
0,Lisina:,422
1,Istidina:,168
2,Arginina:,387
3,Acido aspartico:,717
4,Treonina:,246
5,Serina:,354
6,Acido glutamico:,957
7,Prolina:,248
8,Glicina:,240
9,Alanina:,258
10,Cistina:,56
11,Valina:,353
12,Metionina:,62
13,Isoleucina:,323
14,Leucina:,513
15,Tirosina:,195
16,Fenilalanina:,372
17,Triptofano:,54
18,Indice Chimico:,79
19,Aminoacido limitante:,Solf.
