,Composizione,mg/100g di parte edibile
0,Lisina:,972
1,Istidina:,367
2,Arginina:,859
3,Acido aspartico:,1260
4,Treonina:,558
5,Serina:,595
6,Acido glutamico:,2060
7,Prolina:,950
8,Glicina:,1170
9,Alanina:,891
10,Cistina:,109
11,Valina:,730
12,Metionina:,314
13,Isoleucina:,606
14,Leucina:,1033
15,Tirosina:,457
16,Fenilalanina:,549
17,Triptofano:,98
18,Indice Chimico:,65
19,Aminoacido limitante:,Trip.
