,Composizione chimica,valore per 100g
0,Parte edibile (%):,50
1,Acqua (g):,3.9
2,Proteine (g):,18.1
3,Lipidi(g):,56.1
4,Colesterolo (mg):,0
5,Carboidrati disponibili (g):,8.1
6,Amido (g):,3.3
7,Zuccheri solubili (g):,4.5
8,Fibra totale (g):,10.6
9,Fibra solubile (g):,
10,Fibra insolubile (g):,
11,Alcol (g):,0
12,Energia (kcal):,608
13,Energia (kJ):,2543
14,Sodio (mg):,1
15,Potassio (mg):,972
16,Ferro (mg):,7.3
17,Calcio (mg):,131
18,Fosforo (mg):,500
19,Magnesio (mg):,158
20,Zinco (mg):,2.37
21,Rame (mg):,0.75
22,Selenio (µg):,8
23,Tiamina (mg):,0.67
24,Riboflavina (mg):,0.1
25,Niacina (mg):,1.4
26,Vitamina A retinolo eq. (µg):,43
27,Vitamina C (mg):,2
28,Vitamina E (mg):,4
