,Composizione,mg/100g di parte edibile
0,Lisina:,354
1,Istidina:,246
2,Arginina:,513
3,Acido aspartico:,633
4,Treonina:,393
5,Serina:,689
6,Acido glutamico:,4122
7,Prolina:,1271
8,Glicina:,367
9,Alanina:,415
10,Cistina:,285
11,Valina:,587
12,Metionina:,239
13,Isoleucina:,490
14,Leucina:,897
15,Tirosina:,339
16,Fenilalanina:,593
17,Triptofano:,126
18,Indice Chimico:,47
19,Aminoacido limitante:,Lis.
