,Composizione,mg/100g di parte edibile
0,Lisina:,1424
1,Istidina:,535
2,Arginina:,667
3,Acido aspartico:,1245
4,Treonina:,632
5,Serina:,894
6,Acido glutamico:,4151
7,Prolina:,1742
8,Glicina:,374
9,Alanina:,540
10,Cistina:,88
11,Valina:,1187
12,Metionina:,566
13,Isoleucina:,955
14,Leucina:,1690
15,Tirosina:,987
16,Fenilalanina:,901
17,Triptofano:,229
18,Indice Chimico:,98
19,Aminoacido limitante:,Treo.
