,Composizione chimica,valore per 100g
0,Parte edibile (%):,100
1,Acqua (g):,62.2
2,Proteine (g):,19.8
3,Lipidi(g):,14.7
4,Colesterolo (mg):,62
5,Carboidrati disponibili (g):,0.9
6,Amido (g):,0
7,Zuccheri solubili (g):,0.9
8,Fibra totale (g):,0
9,Fibra solubile (g):,0
10,Fibra insolubile (g):,0
11,Alcol (g):,0
12,Energia (kcal):,215
13,Energia (kJ):,899
14,Sodio (mg):,648
15,Potassio (mg):,227
16,Ferro (mg):,0.7
17,Calcio (mg):,6
18,Fosforo (mg):,250
19,Magnesio (mg):,16
20,Zinco (mg):,2.6
21,Rame (mg):,0.07
22,Selenio (µg):,5.6
23,Tiamina (mg):,0.4
24,Riboflavina (mg):,0.15
25,Niacina (mg):,3.2
26,Vitamina A retinolo eq. (µg):,tr
27,Vitamina C (mg):,0
28,Vitamina E (mg):,
