,Composizione,mg/100g di parte edibile
0,Lisina:,3497
1,Istidina:,
2,Arginina:,1938
3,Acido aspartico:,2723
4,Treonina:,1516
5,Serina:,1917
6,Acido glutamico:,4530
7,Prolina:,3688
8,Glicina:,1839
9,Alanina:,2453
10,Cistina:,554
11,Valina:,1569
12,Metionina:,824
13,Isoleucina:,1757
14,Leucina:,2822
15,Tirosina:,1466
16,Fenilalanina:,1697
17,Triptofano:,547
18,Indice Chimico:,
19,Aminoacido limitante:,
