,Composizione,g/100g di parte edibile
0,Saturi totali (%):,8.48
1,C4:0÷C10:0,0
2,C12:0,0
3,C14:0,0.38
4,C16:0,5.43
5,C18:0,2.57
6,C20:0,0.04
7,C22:0,0
8,Monoinsaturi totali (%):,12.71
9,C14:1,0
10,C16:1,0.85
11,C18:1,11.54
12,C20:1,0.25
13,C22:1,0
14,Polinsaturi totali (%):,3.44
15,C18:2,2.91
16,C18:3,0.18
17,C20:4,0.16
18,C20:5,0
19,C22:6,0
20,Rapporto Polinsaturi/Saturi:,0.4
