,Composizione chimica,valore per 100g
0,Parte edibile (%):,100
1,Acqua (g):,73
2,Proteine (g):,19.5
3,Lipidi(g):,5.5
4,Colesterolo (mg):,
5,Carboidrati disponibili (g):,2
6,Amido (g):,0
7,Zuccheri solubili (g):,2
8,Fibra totale (g):,0
9,Fibra solubile (g):,0
10,Fibra insolubile (g):,0
11,Alcol (g):,0
12,Energia (kcal):,135
13,Energia (kJ):,565
14,Sodio (mg):,67
15,Potassio (mg):,300
16,Ferro (mg):,12.6
17,Calcio (mg):,8
18,Fosforo (mg):,364
19,Magnesio (mg):,19
20,Zinco (mg):,3.9
21,Rame (mg):,8.7
22,Selenio (µg):,42
23,Tiamina (mg):,0.4
24,Riboflavina (mg):,3.28
25,Niacina (mg):,13.1
26,Vitamina A retinolo eq. (µg):,15000
27,Vitamina C (mg):,33
28,Vitamina E (mg):,
