,Composizione,mg/100g di parte edibile
0,Lisina:,138
1,Istidina:,
2,Arginina:,
3,Acido aspartico:,
4,Treonina:,148
5,Serina:,
6,Acido glutamico:,
7,Prolina:,
8,Glicina:,
9,Alanina:,
10,Cistina:,74
11,Valina:,244
12,Metionina:,80
13,Isoleucina:,212
14,Leucina:,387
15,Tirosina:,164
16,Fenilalanina:,260
17,Triptofano:,58
18,Indice Chimico:,45
19,Aminoacido limitante:,Lis.
