,Composizione,mg/100g di parte edibile
0,Lisina:,2350
1,Istidina:,1087
2,Arginina:,1813
3,Acido aspartico:,2526
4,Treonina:,1319
5,Serina:,1191
6,Acido glutamico:,3765
7,Prolina:,1242
8,Glicina:,1474
9,Alanina:,1645
10,Cistina:,336
11,Valina:,1410
12,Metionina:,774
13,Isoleucina:,1287
14,Leucina:,2195
15,Tirosina:,961
16,Fenilalanina:,1145
17,Triptofano:,264
18,Indice Chimico:,90
19,Aminoacido limitante:,Trip.
