,Composizione,mg/100g di parte edibile
0,Lisina:,194
1,Istidina:,192
2,Arginina:,327
3,Acido aspartico:,421
4,Treonina:,259
5,Serina:,489
6,Acido glutamico:,2859
7,Prolina:,1022
8,Glicina:,327
9,Alanina:,287
10,Cistina:,224
11,Valina:,469
12,Metionina:,157
13,Isoleucina:,374
14,Leucina:,691
15,Tirosina:,244
16,Fenilalanina:,448
17,Triptofano:,82
18,Indice Chimico:,37
19,Aminoacido limitante:,Lis.
