,Composizione,mg/100g di parte edibile
0,Lisina:,239
1,Istidina:,228
2,Arginina:,391
3,Acido aspartico:,431
4,Treonina:,310
5,Serina:,543
6,Acido glutamico:,4037
7,Prolina:,1309
8,Glicina:,368
9,Alanina:,318
10,Cistina:,287
11,Valina:,452
12,Metionina:,167
13,Isoleucina:,403
14,Leucina:,741
15,Tirosina:,345
16,Fenilalanina:,510
17,Triptofano:,116
18,Indice Chimico:,37
19,Aminoacido limitante:,Lis.
