,Composizione,mg/100g di parte edibile
0,Lisina:,tr
1,Istidina:,tr
2,Arginina:,tr
3,Acido aspartico:,tr
4,Treonina:,tr
5,Serina:,tr
6,Acido glutamico:,tr
7,Prolina:,tr
8,Glicina:,tr
9,Alanina:,tr
10,Cistina:,tr
11,Valina:,tr
12,Metionina:,tr
13,Isoleucina:,tr
14,Leucina:,tr
15,Tirosina:,tr
16,Fenilalanina:,tr
17,Triptofano:,tr
18,Indice Chimico:,
19,Aminoacido limitante:,
