,Composizione chimica,valore per 100g
0,Parte edibile (%):,100
1,Acqua (g):,58.8
2,Proteine (g):,18.7
3,Lipidi(g):,19.5
4,Colesterolo (mg):,46
5,Carboidrati disponibili (g):,0.7
6,Amido (g):,0
7,Zuccheri solubili (g):,0.7
8,Fibra totale (g):,0
9,Fibra solubile (g):,0
10,Fibra insolubile (g):,0
11,Alcol (g):,0
12,Energia (kcal):,253
13,Energia (kJ):,1058
14,Sodio (mg):,200
15,Potassio (mg):,145
16,Ferro (mg):,0.4
17,Calcio (mg):,350
18,Fosforo (mg):,350
19,Magnesio (mg):,10
20,Zinco (mg):,2.6
21,Rame (mg):,
22,Selenio (µg):,2.5
23,Tiamina (mg):,0.03
24,Riboflavina (mg):,0.27
25,Niacina (mg):,0.4
26,Vitamina A retinolo eq. (µg):,219
27,Vitamina C (mg):,0
28,Vitamina E (mg):,0.39
