,Composizione chimica,valore per 100g
0,Parte edibile (%):,82
1,Acqua (g):,89.3
2,Proteine (g):,1.3
3,Lipidi(g):,0.1
4,Colesterolo (mg):,0
5,Carboidrati disponibili (g):,2.8
6,Amido (g):,0
7,Zuccheri solubili (g):,2.8
8,Fibra totale (g):,1.2
9,Fibra solubile (g):,
10,Fibra insolubile (g):,
11,Alcol (g):,0
12,Energia (kcal):,17
13,Energia (kJ):,71
14,Sodio (mg):,10
15,Potassio (mg):,196
16,Ferro (mg):,1
17,Calcio (mg):,67
18,Fosforo (mg):,29
19,Magnesio (mg):,38
20,Zinco (mg):,0.78
21,Rame (mg):,0.16
22,Selenio (µg):,tr
23,Tiamina (mg):,0.03
24,Riboflavina (mg):,0.19
25,Niacina (mg):,1.8
26,Vitamina A retinolo eq. (µg):,263
27,Vitamina C (mg):,24
28,Vitamina E (mg):,
