,Composizione,g/100g di parte edibile
0,Saturi totali (%):,4.16
1,C4:0÷C10:0,0
2,C12:0,0
3,C14:0,0.74
4,C16:0,2.45
5,C18:0,0.88
6,C20:0,0.09
7,C22:0,0
8,Monoinsaturi totali (%):,38.62
9,C14:1,0
10,C16:1,0.13
11,C18:1,38.46
12,C20:1,0.03
13,C22:1,0
14,Polinsaturi totali (%):,5.2
15,C18:2,5.09
16,C18:3,0.11
17,C20:4,0
18,C20:5,0
19,C22:6,0
20,Rapporto Polinsaturi/Saturi:,1.3
