,Composizione,g/100g di parte edibile
0,Saturi totali (%):,1.44
1,C4:0÷C10:0,0
2,C12:0,0
3,C14:0,0.34
4,C16:0,0.91
5,C18:0,0.19
6,C20:0,0
7,C22:0,0
8,Monoinsaturi totali (%):,2.13
9,C14:1,0
10,C16:1,0.57
11,C18:1,1.12
12,C20:1,0.37
13,C22:1,0.07
14,Polinsaturi totali (%):,2.56
15,C18:2,0.37
16,C18:3,0.02
17,C20:4,0.37
18,C20:5,0.48
19,C22:6,0.78
20,Rapporto Polinsaturi/Saturi:,1.8
