,Composizione,g/100g di parte edibile
0,Saturi totali (%):,5.72
1,C4:0÷C10:0,0
2,C12:0,0
3,C14:0,0.28
4,C16:0,3.71
5,C18:0,1.73
6,C20:0,0
7,C22:0,0
8,Monoinsaturi totali (%):,9.44
9,C14:1,0
10,C16:1,0.59
11,C18:1,8.4
12,C20:1,0.45
13,C22:1,0
14,Polinsaturi totali (%):,3.91
15,C18:2,3.13
16,C18:3,0.16
17,C20:4,0.39
18,C20:5,0.05
19,C22:6,0.18
20,Rapporto Polinsaturi/Saturi:,0.7
