,Composizione chimica,valore per 100g
0,Parte edibile (%):,100
1,Acqua (g):,3.2
2,Proteine (g):,25.7
3,Lipidi(g):,24.9
4,Colesterolo (mg):,109
5,Carboidrati disponibili (g):,42
6,Amido (g):,0
7,Zuccheri solubili (g):,42
8,Fibra totale (g):,0
9,Fibra solubile (g):,0
10,Fibra insolubile (g):,0
11,Alcol (g):,0
12,Energia (kcal):,484
13,Energia (kJ):,2027
14,Sodio (mg):,440
15,Potassio (mg):,1270
16,Ferro (mg):,0.7
17,Calcio (mg):,1050
18,Fosforo (mg):,728
19,Magnesio (mg):,
20,Zinco (mg):,
21,Rame (mg):,
22,Selenio (µg):,
23,Tiamina (mg):,0.24
24,Riboflavina (mg):,1.31
25,Niacina (mg):,0.7
26,Vitamina A retinolo eq. (µg):,295
27,Vitamina C (mg):,4
28,Vitamina E (mg):,
