,Composizione,mg/100g di parte edibile
0,Lisina:,200
1,Istidina:,190
2,Arginina:,1180
3,Acido aspartico:,1080
4,Treonina:,300
5,Serina:,410
6,Acido glutamico:,2030
7,Prolina:,460
8,Glicina:,450
9,Alanina:,380
10,Cistina:,100
11,Valina:,980
12,Metionina:,100
13,Isoleucina:,310
14,Leucina:,590
15,Tirosina:,200
16,Fenilalanina:,450
17,Triptofano:,70
18,Indice Chimico:,43
19,Aminoacido limitante:,Lis.
