,Composizione chimica,valore per 100g
0,Parte edibile (%):,100
1,Acqua (g):,87
2,Proteine (g):,3.3
3,Lipidi(g):,3.6
4,Colesterolo (mg):,11
5,Carboidrati disponibili (g):,4.9
6,Amido (g):,0
7,Zuccheri solubili (g):,4.9
8,Fibra totale (g):,0
9,Fibra solubile (g):,0
10,Fibra insolubile (g):,0
11,Alcol (g):,0
12,Energia (kcal):,64
13,Energia (kJ):,268
14,Sodio (mg):,50
15,Potassio (mg):,150
16,Ferro (mg):,0.1
17,Calcio (mg):,119
18,Fosforo (mg):,93
19,Magnesio (mg):,12
20,Zinco (mg):,0.38
21,Rame (mg):,0.02
22,Selenio (µg):,1.6
23,Tiamina (mg):,0.04
24,Riboflavina (mg):,0.18
25,Niacina (mg):,0.1
26,Vitamina A retinolo eq. (µg):,37
27,Vitamina C (mg):,1
28,Vitamina E (mg):,0.07
