,Composizione,mg/100g di parte edibile
0,Lisina:,1310
1,Istidina:,447
2,Arginina:,831
3,Acido aspartico:,1263
4,Treonina:,642
5,Serina:,572
6,Acido glutamico:,1945
7,Prolina:,557
8,Glicina:,854
9,Alanina:,917
10,Cistina:,149
11,Valina:,784
12,Metionina:,384
13,Isoleucina:,666
14,Leucina:,1028
15,Tirosina:,447
16,Fenilalanina:,548
17,Triptofano:,162
18,Indice Chimico:,100
19,Aminoacido limitante:,Trip.
