,Composizione,mg/100g di parte edibile
0,Lisina:,2190
1,Istidina:,1428
2,Arginina:,1766
3,Acido aspartico:,2383
4,Treonina:,1077
5,Serina:,
6,Acido glutamico:,4005
7,Prolina:,980
8,Glicina:,1246
9,Alanina:,1609
10,Cistina:,762
11,Valina:,1307
12,Metionina:,738
13,Isoleucina:,1307
14,Leucina:,2202
15,Tirosina:,980
16,Fenilalanina:,1149
17,Triptofano:,218
18,Indice Chimico:,82
19,Aminoacido limitante:,Trip.
