,Composizione,mg/100g di parte edibile
0,Lisina:,1591
1,Istidina:,512
2,Arginina:,1240
3,Acido aspartico:,1765
4,Treonina:,863
5,Serina:,811
6,Acido glutamico:,2619
7,Prolina:,752
8,Glicina:,933
9,Alanina:,1106
10,Cistina:,209
11,Valina:,918
12,Metionina:,532
13,Isoleucina:,895
14,Leucina:,1414
15,Tirosina:,584
16,Fenilalanina:,702
17,Triptofano:,170
18,Indice Chimico:,86
19,Aminoacido limitante:,Trip.
