Valori nutrizionali,per porzione,% RDA
Valore calorico,216 kcal 903 kJ,"10,8 %"
Grassi,"9,0 g","13,9 %"
Grassi saturi,"5,5 g","25,1 %"
Grassi monoinsaturi,"2,5 g","8,8 %"
Grassi polinsaturi,"0,4 g","2,7 %"
Carboidrati,"26,4 g","9,9 %"
Zuccheri,"0,0 g","0,0 %"
Proteine,"7,0 g","9,6 %"
Fibre alimentari,"4,7 g","1,6 %"
Colesterolo,"29,4 mg","98,0 %"
Sodio,"0,8 g","0,1 %"
Acqua,"198,3 g","9,9 %"
