Valori nutrizionali,per porzione,% RDA
Valore calorico,127 kcal 530 kJ,"6,3 %"
Grassi,"9,9 g","15,2 %"
Grassi saturi,"3,5 g","15,9 %"
Grassi monoinsaturi,"4,6 g","16,0 %"
Grassi polinsaturi,"1,3 g","8,7 %"
Carboidrati,"2,2 g","0,8 %"
Zuccheri,"0,0 g","0,0 %"
Proteine,"7,3 g","10,0 %"
Fibre alimentari,"0,0 g","0,0 %"
Colesterolo,"39,2 mg","130,7 %"
Sodio,"0,7 g","0,1 %"
Acqua,"34,7 g","1,7 %"
