,0,1,2,3
1,Proteine(%): 6.7,,,
2,Lisina:,458,6.84,
3,Istidina:,200,2.99,
4,Arginina:,382,5.7,
5,Acido aspartico:,767,11.45,
6,Treonina:,261,3.9,
7,Serina:,400,5.97,
8,Acido glutamico:,1028,15.34,
9,Prolina:,255,3.81,
10,Glicina:,264,3.94,
11,Alanina:,280,4.18,
12,Cistina:,65,0.97,
13,Valina:,357,5.33,
14,Metionina:,70,1.04,
15,Isoleucina:,318,4.75,
16,Leucina:,542,8.09,
17,Tirosina:,256,3.82,
18,Fenilalanina:,382,5.7,
19,Triptofano:,61,0.91,
20,Indice Chimico:,81,,
21,Aminoacido limitante:,Solf.,,
