Minerali,per porzione,% RDA
Calcio,"34,0 mg","3,4 %"
Rame,"0,1 mg","14,9 %"
Ferro,"1,2 mg","7,9 %"
Magnesio,"17,4 mg","5,8 %"
Manganese,"0,7 mg","33,6 %"
Fosforo,"193,6 mg","27,7 %"
Potassio,"285,2 mg","14,3 %"
Selenio,"< 0,1 mg","33,2 %"
Zinco,"0,5 mg","7,4 %"
