Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Breadsticks,Pani,Cereali e patate,Cibi a base vegetale,Cibi e bevande a base vegetale
Grassi,25 g,"+156%9,75 g","+211%8,05 g","+303%6,21 g","+134%10,7 g","+160%9,61 g"
- Acidi Grassi saturi,11 g,"+318%2,63 g","+400%2,2 g","+555%1,68 g","+368%2,35 g","+421%2,11 g"
Carboidrati,58 g,"-16%69,3 g","-1%58,6 g","-3%59,9 g","+22%47,6 g","+32%43,9 g"
- Zuccheri,"5,3 g","+115%2,47 g","+63%3,25 g","-19%6,57 g","-38%8,57 g","-40%8,8 g"
Fibra alimentare,"3,2 g","-22%4,11 g","-31%4,64 g","-32%4,71 g","-26%4,35 g","-21%4,03 g"
Proteine,"7,6 g","-32%11,2 g","-16%9,02 g","-20%9,47 g","-2%7,75 g","+9%6,98 g"
Sale,"1,6 g","-25%2,12 g","-8%1,74 g","+119%0,732 g","+169%0,594 g","+200%0,534 g"
Sodio,"0,63 g","-25%0,835 g","-8%0,685 g","+119%0,288 g","+169%0,234 g","+200%0,21 g"
Nutrition score - France,19,"+68%11,3","+141%7,89","+517%3,08","+513%3,1","+390%3,88"
Nutri-Score,E,D,C,C,C,C
