,0,1
0,TABELLE NUTRIZIONALI CARNE,
1,,"pollo, vitello, manzo, maiale, agnello, quaglia, tacchino..."
2,,
3,TABELLE NUTRIZIONALI VERDURE E ORTAGGI,
4,,"zucchine, peperoni, melanzane, patate, lattuga, cicoria..."
5,,
6,TABELLE NUTRIZIONALI FRUTTA,
7,,"arance, mandarini, mandorle, more, pistacchi, mele, uva..."
8,,
9,TABELLE NUTRIZIONALI LEGUMI,
10,,"ceci, fagioli, lenticchie,lupini, piselli, , soia..."
11,,
12,TABELLE NUTRIZIONALI CEREALI,
13,,"pane, pasta, pizza, riso, grissini, fette biscottate, avena..."
14,,
15,TABELLE NUTRIZIONALI CARNI TRASFORMATE,
16,,"bresaola, coppa, prosciutto, speck, salsiccia, hamburger..."
17,,
18,TABELLE NUTRIZIONALI FRATTAGLIE,
19,,"cervello, coratella, cuore, fegato, lingua, trippa, milza..."
20,,
21,TABELLE NUTRIZIONALI PESCE,
22,,"aringa, anguilla, cozza, sogliola, merluzzo, tonno, salmone..."
23,,
24,TABELLE NUTRIZIONALI LATTE E YOGURT,
25,,"Latte, di vacca, di capra, scremato, parzialmente scremato, in polvere....."
26,,
27,TABELLE NUTRIZIONALI FORMAGGI,
28,,"Grana, taleggio, parmigiano, robiola, ricotta, mozzarella, fiocchi di latte....."
29,,
30,TABELLE NUTRIZIONALI oli E GRASSI,
31,,"Burro, lardo, margarina, strutto, olio di oliva, olio di semi..."
32,,
33,TABELLE NUTRIZIONALI UOVA,
34,,"Uovo intero, albume, in polvere, uovo d'anatra, d'oca, di tacchina..."
35,,
36,TABELLE NUTRIZIONALI PRODOTTI VARI,
37,,"Cacao, coca-cola, ketchup, caffè, maionese..."
38,,
39,TABELLE NUTRIZIONALI DOLCI,
40,,"Cioccolato al latte, fondente, gelato, miele, torrone..."
41,,
42,TABELLE NUTRIZIONALI ALCOLICI,
43,,"Vino, spumante, grappa, whisky..."
44,,
45,Quiz sulle tabelle nutrizionali,
46,,"principiante, intermedio..."
