Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"0,4 mg","33,0 %"
Vitamina B11,"< 0,1 mg","14,7 %"
Vitamina B12,"< 0,1 mg","235,9 %"
Vitamina B2,"1,2 mg","87,5 %"
Vitamina B3,"34,0 mg","212,6 %"
Vitamina B5,"5,9 mg","99,0 %"
Vitamina B6,"1,9 mg","132,8 %"
Vitamina C,"0,0 mg","0,0 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"1,2 mg","9,8 %"
Vitamina K,"0,0 mg","0,0 %"
