Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Cibi a base vegetale,Cibi e bevande a base vegetale
Grassi,"1,3 g","-88%10,7 g","-86%9,61 g"
- Acidi Grassi saturi,"0,2 g","-92%2,36 g","-91%2,12 g"
Carboidrati,"76,1 g","+60%47,6 g","+73%43,9 g"
- Zuccheri,"0,5 g","-94%8,59 g","-94%8,81 g"
Fibra alimentare,"2,1 g","-52%4,38 g","-48%4,06 g"
Proteine,"8,5 g","+10%7,76 g",+21%7 g
Sale,"0,15 g","-75%0,593 g","-72%0,533 g"
Sodio,"0,059 g","-75%0,233 g","-72%0,21 g"
Nutrition score - France,-3,"-197%3,08","-178%3,87"
Nutri-Score,A,C,C
