,0,1,2,3
1,Proteine(%): 27.3,,,
2,Lisina:,2278,8.34,
3,Istidina:,838,3.07,
4,Arginina:,1554,5.69,
5,Acido aspartico:,2731,10,
6,Treonina:,1120,4.1,
7,Serina:,1158,4.24,
8,Acido glutamico:,4260,15.6,
9,Prolina:,1117,4.09,
10,Glicina:,1357,4.97,
11,Alanina:,1721,6.3,
12,Cistina:,306,1.12,
13,Valina:,1423,5.21,
14,Metionina:,721,2.64,
15,Isoleucina:,1289,4.72,
16,Leucina:,2433,8.91,
17,Tirosina:,874,3.2,
18,Fenilalanina:,994,3.64,
19,Triptofano:,273,1,
20,Indice Chimico:,91,,
21,Aminoacido limitante:,Trip.,,
