Minerali,per porzione,% RDA
Calcio,"2,0 mg","0,2 %"
Rame,"0,3 mg","27,4 %"
Ferro,"1,0 mg","6,7 %"
Magnesio,"27,0 mg","9,0 %"
Manganese,"0,1 mg","5,7 %"
Fosforo,"124,0 mg","17,7 %"
Potassio,"510,0 mg","25,5 %"
Selenio,"0,0 mg","0,0 %"
Zinco,"0,3 mg","4,9 %"
