,0,1,2,3
1,Proteine(%): 15.1,,,
2,Lisina:,459,3.04,
3,Istidina:,371,2.46,
4,Arginina:,735,4.87,
5,Acido aspartico:,897,5.94,
6,Treonina:,451,2.99,
7,Serina:,676,4.48,
8,Acido glutamico:,4332,28.69,
9,Prolina:,1430,9.47,
10,Glicina:,633,4.19,
11,Alanina:,598,3.96,
12,Cistina:,411,2.72,
13,Valina:,797,5.28,
14,Metionina:,304,2.01,
15,Isoleucina:,607,4.02,
16,Leucina:,1111,7.36,
17,Tirosina:,423,2.8,
18,Fenilalanina:,755,5,
19,Triptofano:,198,1.31,
20,Indice Chimico:,52,,
21,Aminoacido limitante:,Lis.,,
