Minerali,per porzione,% RDA
Calcio,"68,8 mg","6,9 %"
Rame,"0,2 mg","22,7 %"
Ferro,"1,2 mg","8,3 %"
Magnesio,"65,1 mg","21,7 %"
Manganese,"< 0,1 mg","2,0 %"
Fosforo,"651,0 mg","93,0 %"
Potassio,"952,3 mg","47,6 %"
Selenio,"< 0,1 mg","318,1 %"
Zinco,"1,2 mg","16,7 %"
