Minerali,per porzione,% RDA
Calcio,"113,4 mg","11,3 %"
Rame,"< 0,1 mg","4,9 %"
Ferro,"1,3 mg","8,6 %"
Magnesio,"16,4 mg","5,5 %"
Manganese,"0,2 mg","8,1 %"
Fosforo,"131,0 mg","18,7 %"
Potassio,"158,8 mg","7,9 %"
Selenio,"< 0,1 mg","39,9 %"
Zinco,"0,7 mg","9,5 %"
