,0,1,2,3
1,Proteine(%): 13.8,,,
2,Lisina:,477,3.46,
3,Istidina:,292,2.12,
4,Arginina:,411,2.98,
5,Acido aspartico:,820,5.94,
6,Treonina:,473,3.43,
7,Serina:,687,4.98,
8,Acido glutamico:,4100,29.71,
9,Prolina:,1598,11.58,
10,Glicina:,355,2.57,
11,Alanina:,428,3.1,
12,Cistina:,254,1.84,
13,Valina:,710,5.14,
14,Metionina:,239,1.73,
15,Isoleucina:,625,4.53,
16,Leucina:,1141,8.27,
17,Tirosina:,462,3.35,
18,Fenilalanina:,644,4.67,
19,Triptofano:,133,0.96,
20,Indice Chimico:,60,,
21,Aminoacido limitante:,Lis.,,
