,0,1,2,3
1,Proteine(%): 15.4,,,
2,Lisina:,1265,8.21,
3,Istidina:,565,3.67,
4,Arginina:,1028,6.68,
5,Acido aspartico:,1328,8.62,
6,Treonina:,653,4.24,
7,Serina:,642,4.17,
8,Acido glutamico:,2355,15.29,
9,Prolina:,876,5.69,
10,Glicina:,949,6.16,
11,Alanina:,994,6.47,
12,Cistina:,191,1.24,
13,Valina:,812,5.27,
14,Metionina:,393,2.55,
15,Isoleucina:,737,4.79,
16,Leucina:,1236,8.03,
17,Tirosina:,520,3.38,
18,Fenilalanina:,614,3.99,
19,Triptofano:,132,0.86,
20,Indice Chimico:,78,,
21,Aminoacido limitante:,Trip.,,
