Minerali,per porzione,% RDA
Calcio,"63,2 mg","6,3 %"
Rame,"< 0,1 mg","7,3 %"
Ferro,"1,2 mg","7,8 %"
Magnesio,"23,7 mg","7,9 %"
Manganese,"0,7 mg","35,1 %"
Fosforo,"158,0 mg","22,6 %"
Potassio,"281,2 mg","14,1 %"
Selenio,"< 0,1 mg","33,2 %"
Zinco,"0,5 mg","7,3 %"
