Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Cereales-et-pommes-de-terre,Aliments-d-origine-vegetale,Aliments-et-boissons-a-base-de-vegetaux
Grassi,"2,5 g","-86%17,5 g","-90%24,4 g","-89%22,9 g"
- Acidi Grassi saturi,"0,5 g","-80%2,47 g","-86%3,57 g","-85%3,35 g"
Carboidrati,66 g,"+31%50,4 g","+60%41,2 g","+68%39,2 g"
- Zuccheri,3 g,"-12%3,39 g","-1%3,04 g","-14%3,47 g"
Fibra alimentare,7 g,?,"+30%5,38 g","+43%4,89 g"
Proteine,13 g,"+59%8,2 g","+57%8,27 g","+68%7,75 g"
Sale,"0,005 g","-99%0,83 g","-99%0,889 g","-99%0,833 g"
Sodio,"0,002 g","-99%0,327 g","-99%0,35 g","-99%0,328 g"
Nutrition score - France,-6,"-203%5,83","-191%6,6","-193%6,44"
Nutri-Score,A,C,C,C
