,0,1,2,3
1,Proteine(%): 19.4,,,
2,Lisina:,1791,9.23,
3,Istidina:,689,3.55,
4,Arginina:,1341,6.91,
5,Acido aspartico:,1917,9.88,
6,Treonina:,953,4.91,
7,Serina:,885,4.56,
8,Acido glutamico:,2825,14.56,
9,Prolina:,733,3.78,
10,Glicina:,900,4.64,
11,Alanina:,1148,5.92,
12,Cistina:,246,1.27,
13,Valina:,1036,5.34,
14,Metionina:,623,3.21,
15,Isoleucina:,980,5.05,
16,Leucina:,1641,8.46,
17,Tirosina:,679,3.5,
18,Fenilalanina:,823,4.24,
19,Triptofano:,215,1.11,
20,Indice Chimico:,100,,
21,Aminoacido limitante:,Trip.,,
