Minerali,per porzione,% RDA
Calcio,"8,0 mg","0,8 %"
Rame,"0,0 mg","0,0 %"
Ferro,"3,3 mg","21,7 %"
Magnesio,"0,0 mg","0,0 %"
Manganese,"0,0 mg","0,0 %"
Fosforo,"0,0 mg","0,0 %"
Potassio,"0,0 mg","0,0 %"
Selenio,"< 0,1 mg","88,0 %"
Zinco,"0,0 mg","0,0 %"
