Valori nutrizionali,per porzione,% RDA
Valore calorico,401 kcal 1.679 kJ,"20,1 %"
Grassi,"5,8 g","8,9 %"
Grassi saturi,"1,0 g","4,5 %"
Carboidrati,"76,1 g","28,4 %"
Proteine,"9,3 g","12,7 %"
