Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Pizzas pies and quiches,Meals
Grassi,10 g,"+12%8,91 g","+16%8,64 g"
- Acidi Grassi saturi,"4,8 g","+9%4,4 g","+28%3,74 g"
Carboidrati,"23,3 g","-18%28,5 g","-7%25,1 g"
- Zuccheri,"4,4 g","+58%2,79 g","+25%3,53 g"
Fibra alimentare,"1,9 g","-12%2,15 g","-17%2,3 g"
Proteine,"6,4 g","-35%9,84 g","-24%8,41 g"
Sale,"0,85 g","-32%1,25 g","-23%1,11 g"
Sodio,"0,335 g","-32%0,492 g","-23%0,437 g"
Nutrition score - France,5,"-33%7,42","-22%6,45"
Nutri-Score,C,C,C
