,0,1
0,CARNI OVINE E CAPRINE,
1,,
2,,AGNELLO O ABBACCHIO
3,,cotto al forno
4,,coscia cruda
5,,coscia cotta al forno
6,,costoletta cruda
7,,costoletta cotta al forno
8,,AGNELLONE E CASTRATO
9,,CAPRETTO
10,,TABELLE NUTRIZIONALI OCA
11,,
12,CARNI AVICOLE,
13,,
14,,ANATRA DOMESTICA
15,,CAPPONE
16,,"FARAONA (coscia, con pelle, cruda)"
17,,petto (cotto al forno)
18,,"coscia, senza pelle, cotta al forno"
19,,"senza pelle, cruda"
20,,"petto (senza pelle, crudo)"
21,,GALLINA
22,,"POLLO, intero, con pelle, crudo"
23,,"ala, con pelle, cruda"
24,,"ala, con pelle, cotta"
25,,"intero, con pelle, cotto"
26,,"intero, senza pelle, cotto"
27,,"intero, senza pelle, crudo"
28,,"fuso, con pelle, crudo"
29,,"fuso senza pelle, crudo"
30,,"fuso, con pelle, cotto"
31,,"fuso, senza pelle, cotto"
32,,"petto, senza pelle, crudo"
33,,"petto, senza pelle, cotto"
34,,"senza pelle, rosticceria"
35,,"con pelle, rosticceria"
36,,"sovracoscio con pelle, crudo"
37,,"sovracoscio, con pelle, cotto"
38,,"sovracoscio, senza pelle, crudo"
39,,"sovracoscio, senza pelle, cotto"
40,,"TACCHINO, intero, con pelle, crudo"
41,,"intero, senza pelle, crudo"
42,,"fesa, saltata in padella"
43,,"fesa, cruda"
44,,"fuso, con pelle, crudo"
45,,"fuso, con pelle, cotto"
46,,"fuso, senza pelle, cotto"
47,,"fuso, senza pelle, crudo"
48,,"sovracoscio, senza pelle, cotto"
49,,"sovracoscio, senza pelle, crudo"
50,CARNI BOVINE,
51,,
52,,BOVINO ADULTO
53,,"sottospalla, collo"
54,,costata
55,,fesa
56,,filetto
57,,geretto anteriore e posteriore
58,,girello
59,,lombata
60,,noce
61,,"pancia, biancostato"
62,,punta di petto
63,,scamone
64,,sottofesa
65,,"spalla, muscolo, girello, fesone"
66,,tagli anteriori
67,,tagli posteriori
68,,"VITELLO, filetto, crudo"
69,,"Filetto, saltato in padella"
70,,
71,CARNI SUINE,
72,,
73,,"MAIALE leggero, bistecca cruda"
74,,"leggero, coscia"
75,,"leggero, lombo"
76,,"pesante, coscia"
77,,"pesante, spalla"
78,,"leggero, spalla"
79,,"pesante, lombo"
80,,
81,SELVAGGINA,
82,,
83,,CERVO
84,,CAPRIOLO
85,,CINGHIALE
86,,FAGIANO
87,,LEPRE
88,,QUAGLIA
89,,PERNICE
90,,PICCIONE
91,CARNI CUNICOLE,
92,,
93,,CONIGLIO
94,,coniglio cotto
95,,coniglio surgelato
96,,coscia
97,,
98,CARNI EQUINE,
99,,
100,,CAVALLO
101,,
102,VARIE,
103,,
104,,LUMACA
105,,RANA
106,,STRUZZO
