,0,1,2,3
1,Proteine(%): 17,,,
2,Lisina:,1775,10.2,
3,Istidina:,512,2.94,
4,Arginina:,1147,6.59,
5,Acido aspartico:,1860,10.69,
6,Treonina:,900,5.17,
7,Serina:,868,4.99,
8,Acido glutamico:,2751,15.81,
9,Prolina:,682,3.92,
10,Glicina:,813,4.67,
11,Alanina:,1161,6.67,
12,Cistina:,204,1.17,
13,Valina:,910,5.23,
14,Metionina:,588,3.38,
15,Isoleucina:,816,4.69,
16,Leucina:,1484,8.53,
17,Tirosina:,682,3.92,
18,Fenilalanina:,880,5.06,
19,Triptofano:,195,1.12,
20,Indice Chimico:,100,,
21,Aminoacido limitante:,Trip.,,
