Valori nutrizionali,per porzione,% RDA
Valore calorico,218 kcal 911 kJ,"10,9 %"
Grassi,"2,9 g","4,5 %"
Grassi saturi,"0,6 g","2,8 %"
Grassi monoinsaturi,"0,5 g","1,9 %"
Grassi polinsaturi,"1,0 g","6,7 %"
Carboidrati,"0,0 g","0,0 %"
Zuccheri,"0,0 g","0,0 %"
Proteine,"44,7 g","61,2 %"
Fibre alimentari,"0,0 g","0,0 %"
Colesterolo,"79,9 mg","266,3 %"
Sodio,"< 0,1 g","< 0,1 %"
Acqua,"119,6 g","6,0 %"
