Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Nettare di frutta,Fruit juices and nectars,Succo e nettare,Fruit-based beverages,Plant-based beverages,Non-Alcoholic beverages,Bevande,Cibi e bevande a base vegetale
Grassi,0 g,"-100%0,046 g","-100%0,026 g","-100%0,03 g","-100%0,042 g","-100%0,874 g","-100%0,604 g","-100%0,527 g","-100%9,61 g"
- Acidi Grassi saturi,0 g,"-100%0,009 g","-100%0,005 g","-100%0,005 g","-100%0,008 g","-100%0,135 g","-100%0,133 g","-100%0,118 g","-100%2,12 g"
Carboidrati,"14,6 g","+11%13,1 g","+23%11,9 g",+22%12 g,"+23%11,9 g","+57%9,27 g","+75%8,35 g","+62%9,03 g","-67%43,9 g"
- Zuccheri,"14,6 g","+21%12,1 g","+30%11,2 g","+30%11,2 g","+30%11,2 g","+79%8,14 g","+94%7,52 g","+81%8,07 g","+66%8,81 g"
Fibra alimentare,"0,6 g",?,"-20%0,752 g","-21%0,755 g","-20%0,748 g","+1%0,597 g","+50%0,4 g","+30%0,46 g","-85%4,06 g"
Proteine,"0,2 g","+3%0,194 g","-35%0,307 g","-31%0,291 g","-24%0,264 g","-76%0,838 g","-74%0,761 g","-73%0,745 g",-97%7 g
Sale,"0,03 g","+140%0,012 g","+334%0,007 g","+357%0,007 g","+437%0,006 g","-40%0,05 g","-83%0,177 g","-78%0,136 g","-94%0,533 g"
Sodio,"0,012 g","+140%0,005 g","+334%0,003 g","+357%0,003 g","+437%0,002 g","-40%0,02 g","-83%0,07 g","-78%0,054 g","-94%0,21 g"
"Fruits, vegetables and nuts (minimum)",40 %,"-15%46,8 %","-15%46,8 %","-15%46,8 %","-15%47,1 %","-15%47,1 %","-15%47,1 %","-15%47,1 %","-8%43,5 %"
Nutrition score - France,19,"+39%13,7","+102%9,42","+94%9,8","+81%10,5","+230%5,75","+200%6,33","+172%6,99","+391%3,87"
Nutri-Score,E,E,E,E,E,D,D,D,C
