Minerali,per porzione,% RDA
Calcio,"298,0 mg","29,8 %"
Rame,"0,6 mg","56,4 %"
Ferro,"1,6 mg","10,8 %"
Magnesio,"29,0 mg","9,7 %"
Manganese,"< 0,1 mg","4,7 %"
Fosforo,"375,0 mg","53,6 %"
Potassio,"158,0 mg","7,9 %"
Selenio,"< 0,1 mg","12,7 %"
Zinco,"0,7 mg","9,4 %"
