Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"< 0,1 mg","6,7 %"
Vitamina B11,"0,1 mg","32,9 %"
Vitamina B12,"0,0 mg","0,0 %"
Vitamina B2,"0,1 mg","8,0 %"
Vitamina B3,"0,8 mg","4,8 %"
Vitamina B5,"0,2 mg","3,6 %"
Vitamina B6,"0,2 mg","12,5 %"
Vitamina C,"117,0 mg","146,3 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"0,0 mg","0,0 %"
Vitamina K,"0,0 mg","0,0 %"
