Valori nutrizionali,per porzione,% RDA
Valore calorico,196 kcal 820 kJ,"9,8 %"
Grassi,"9,0 g","13,9 %"
Grassi saturi,"2,2 g","9,9 %"
Grassi monoinsaturi,"4,0 g","13,9 %"
Grassi polinsaturi,"1,6 g","10,4 %"
Carboidrati,"0,0 g","0,0 %"
Zuccheri,"0,0 g","0,0 %"
Proteine,"26,7 g","36,6 %"
Fibre alimentari,"0,0 g","0,0 %"
Colesterolo,"89,8 mg","299,2 %"
Sodio,"0,1 g","< 0,1 %"
Acqua,"99,8 g","5,0 %"
