Minerali,per porzione,% RDA
Calcio,"44,6 mg","4,5 %"
Rame,"0,1 mg","10,4 %"
Ferro,"2,7 mg","18,1 %"
Magnesio,"46,5 mg","15,5 %"
Manganese,"< 0,1 mg","1,9 %"
Fosforo,"366,4 mg","52,3 %"
Potassio,"494,8 mg","24,7 %"
Selenio,"< 0,1 mg","185,4 %"
Zinco,"3,9 mg","55,8 %"
