,0,1,2,3
1,Proteine(%): 13.8,,,
2,Lisina:,408,2.97,
3,Istidina:,296,2.15,
4,Arginina:,2042,14.85,
5,Acido aspartico:,1651,12.01,
6,Treonina:,524,3.81,
7,Serina:,612,4.45,
8,Acido glutamico:,3146,22.88,
9,Prolina:,513,3.73,
10,Glicina:,556,4.04,
11,Alanina:,579,4.21,
12,Cistina:,278,2.02,
13,Valina:,659,4.79,
14,Metionina:,206,1.5,
15,Isoleucina:,514,3.74,
16,Leucina:,930,6.76,
17,Tirosina:,397,2.89,
18,Fenilalanina:,595,4.33,
19,Triptofano:,125,0.91,
20,Indice Chimico:,51,,
21,Aminoacido limitante:,Lis.,,
